n,d2,E2,A2,d3,D3,D4,c4,A3,B3,B4,d4,A4,D5,D6,A6,A9
2,1.129,2.657,1.879,0.853,0,3.268,0.798,2.657,0,3.264,0.954,2.223,0,3.746,1.879,2.223
3,1.694,1.771,1.023,0.889,0,2.575,0.887,1.953,0,2.562,1.589,1.09,0,2.717,1.187,1.265
4,2.059,1.457,0.729,0.88,0,2.283,0.921,1.628,0,2.265,1.978,0.758,0,2.366,0.795,0.828
5,2.325,1.29,0.577,0.864,0,2.115,0.94,1.428,0,2.093,2.255,0.595,0,2.176,0.691,0.712
6,2.534,1.184,0.483,0.848,0,2.004,0.952,1.287,0.03,1.97,2.471,0.496,0,2.054,0.548,0.562
7,2.704,1.109,0.419,0.832,0.077,1.923,0.959,1.182,0.117,1.883,2.646,0.429,0.035,1.965,0.509,0.52
8,2.846,1.054,0.373,0.819,0.137,1.863,0.965,1.099,0.182,1.818,2.788,0.38,0.098,1.902,0.432,0.441
9,2.97,1.01,0.337,0.807,0.185,1.815,0.969,1.032,0.236,1.764,2.915,0.343,0.15,1.85,0.411,0.419
10,3.078,0.975,0.308,0.796,0.224,1.776,0.973,0.975,0.284,1.716,3.026,0.314,0.192,1.808,0.362,0.368
11,3.17,0.946,0.285,0.785,0.257,1.743,0.975,0.928,0.311,1.689,3.116,0.29,0.226,1.774,0.35,0.356
12,3.257,0.921,0.266,0.778,0.284,1.716,0.977,0.886,0.347,1.653,3.206,0.27,0.255,1.745,0.316,0.321
13,3.334,0.9,0.25,0.771,0.307,1.693,0.979,0.85,0.377,1.623,3.282,0.253,0.279,1.721,0.308,0.313
14,3.407,0.88,0.235,0.764,0.328,1.672,0.981,0.817,0.403,1.597,3.357,0.239,0.302,1.698,0.281,0.285
15,3.472,0.864,0.223,0.757,0.346,1.654,0.982,0.788,0.43,1.57,3.421,0.226,0.321,1.679,0.276,0.28
16,3.533,0.849,0.212,0.75,0.363,1.637,0.983,0.763,0.448,1.552,3.482,0.215,0.339,1.661,0.255,0.259
17,3.588,0.836,0.203,0.745,0.377,1.623,0.984,0.739,0.465,1.535,3.537,0.206,0.354,1.646,0.251,0.254
18,3.641,0.824,0.194,0.737,0.393,1.607,0.986,0.717,0.485,1.515,3.595,0.197,0.371,1.629,0.234,0.237
19,3.688,0.813,0.187,0.733,0.404,1.596,0.986,0.698,0.497,1.503,3.638,0.189,0.382,1.618,0.232,0.235
20,3.736,0.803,0.18,0.73,0.414,1.586,0.987,0.679,0.518,1.482,3.687,0.182,0.392,1.608,0.218,0.221
