n,d2,E2,A2,d3,D3,D4,c4,A3,B3,B4,d4,A4,D5,D6,A6,A9
2,1.127,2.662,1.882,0.853,0,3.27,0.797,2.662,0,3.274,0.952,2.228,0,3.749,1.882,2.228
3,1.694,1.771,1.023,0.89,0,2.576,0.887,1.953,0,2.563,1.589,1.09,0,2.72,1.186,1.265
4,2.058,1.458,0.729,0.88,0,2.282,0.921,1.629,0,2.269,1.977,0.759,0,2.366,0.796,0.829
5,2.327,1.289,0.577,0.865,0,2.115,0.94,1.427,0,2.086,2.257,0.594,0,2.176,0.69,0.712
6,2.535,1.184,0.483,0.847,0,2.003,0.952,1.287,0.031,1.969,2.472,0.496,0,2.052,0.548,0.562
7,2.703,1.11,0.419,0.831,0.078,1.922,0.959,1.182,0.115,1.885,2.643,0.429,0.035,1.965,0.51,0.521
8,2.849,1.053,0.372,0.822,0.135,1.865,0.965,1.099,0.19,1.81,2.793,0.38,0.097,1.903,0.433,0.441
9,2.965,1.012,0.337,0.807,0.183,1.817,0.968,1.033,0.22,1.78,2.911,0.343,0.149,1.851,0.412,0.42
10,3.078,0.975,0.308,0.797,0.223,1.777,0.973,0.975,0.284,1.716,3.028,0.313,0.192,1.808,0.363,0.369
11,3.17,0.946,0.285,0.787,0.255,1.745,0.975,0.928,0.312,1.688,3.118,0.29,0.225,1.775,0.351,0.356
12,3.257,0.921,0.266,0.778,0.284,1.716,0.978,0.886,0.353,1.647,3.208,0.27,0.256,1.744,0.316,0.321
13,3.337,0.899,0.249,0.77,0.308,1.692,0.979,0.85,0.382,1.618,3.286,0.253,0.281,1.719,0.307,0.312
14,3.404,0.881,0.236,0.761,0.329,1.671,0.981,0.818,0.4,1.6,3.356,0.239,0.303,1.697,0.282,0.286
15,3.474,0.864,0.223,0.758,0.346,1.654,0.983,0.788,0.432,1.568,3.423,0.226,0.321,1.679,0.275,0.28
16,3.533,0.849,0.212,0.749,0.364,1.636,0.983,0.763,0.444,1.556,3.484,0.215,0.34,1.66,0.255,0.259
17,3.584,0.837,0.203,0.743,0.378,1.622,0.984,0.74,0.45,1.55,3.536,0.206,0.355,1.645,0.251,0.255
18,3.642,0.824,0.194,0.739,0.391,1.609,0.986,0.717,0.492,1.508,3.592,0.197,0.368,1.632,0.235,0.238
19,3.687,0.814,0.187,0.733,0.403,1.597,0.986,0.698,0.494,1.506,3.638,0.189,0.381,1.619,0.231,0.234
20,3.735,0.803,0.18,0.729,0.415,1.585,0.987,0.68,0.511,1.489,3.685,0.182,0.393,1.607,0.217,0.22
