n,ratio
2,1
3,1.15883981372549
4,1.09194401960784
5,1.1971003627451
6,1.13521625490196
7,1.21456745098039
8,1.15763107843137
9,1.22459454901961
10,1.17702953921569
11,1.22675582352941
12,1.18886178431373
13,1.23215245098039
14,1.19734279411765
15,1.2363387745098
16,1.20264750980392
17,1.23830529411765
18,1.20702499019608
19,1.24063360784314
20,1.21154198039216
21,1.23990983333333
22,1.21570623529412
23,1.23958842156863
24,1.21835944117647
25,1.24238768627451
26,1.22005803921569
27,1.24351307843137
28,1.22111812745098
29,1.24474971568627
30,1.22291058823529
31,1.24420729411765
32,1.22610688235294
33,1.2408257254902
34,1.2284928627451
35,1.24509823529412
36,1.23027060784314
37,1.24389752941176
38,1.23127528431373
39,1.24554901960784
40,1.23224234313725
41,1.24852875490196
42,1.23064019607843
43,1.24653668627451
44,1.23587048039216
45,1.24845524509804
46,1.23703533333333
47,1.24499097058824
48,1.23310665686275
49,1.24652635294118
50,1.23592697058824
51,1.24813492156863
52,1.234249
53,1.25193712745098
54,1.23603870588235
55,1.24478732352941
56,1.23779101960784
57,1.24702654901961
58,1.23882290196078
59,1.24876591176471
60,1.23891181372549
61,1.24783024509804
62,1.24204301960784
63,1.24834481372549
64,1.24084454901961
65,1.24940865686275
66,1.24134093137255
67,1.25175838235294
68,1.23684956862745
69,1.24850474509804
70,1.24083011764706
71,1.24970941176471
72,1.24164119607843
73,1.2498585
74,1.2409175
75,1.24753264705882
76,1.24370744117647
77,1.2544858627451
78,1.24096761764706
79,1.24920859803922
80,1.24405952941176
81,1.24714518627451
82,1.24115394117647
83,1.24661133333333
84,1.2460387254902
85,1.24844779411765
86,1.24217000980392
87,1.24701591176471
88,1.24525040196078
89,1.24738285294118
90,1.24386903921569
91,1.25313788235294
92,1.24198001960784
93,1.24875746078431
94,1.24397859803922
95,1.24731847058824
96,1.24391171568627
97,1.24825453921569
98,1.2445582254902
99,1.24094347058824
100,1.24690244117647
101,1.25021634313725
102,1.24400023529412
103,1.2519743627451
104,1.24649002941176
105,1.25216107843137
106,1.24456784313725
107,1.25296231372549
108,1.24421709803922
109,1.25498367647059
110,1.24294752941176
111,1.25290778431373
112,1.24559645098039
113,1.2497543627451
114,1.24406842156863
115,1.24605817647059
116,1.24880867647059
117,1.25112641176471
118,1.24443757843137
119,1.25092128431373
120,1.24651414705882
121,1.25184875490196
122,1.2485101372549
123,1.25239701960784
124,1.24320709803922
125,1.25147397058824
126,1.24449692156863
127,1.25512519607843
128,1.24260412745098
129,1.25468489215686
130,1.24825561764706
131,1.25135223529412
132,1.24575635294118
133,1.25300070588235
134,1.24665802941176
135,1.2531085
136,1.24857535294118
137,1.25181852941176
138,1.24547220588235
139,1.25298920588235
140,1.24443570588235
141,1.2548072254902
142,1.25277379411765
143,1.24972561764706
144,1.25034935294118
145,1.24500916666667
146,1.24272089215686
147,1.24527040196078
148,1.24477166666667
149,1.25308814705882
150,1.2486642254902
151,1.25449867647059
152,1.25063630392157
153,1.24868187254902
154,1.24530805882353
155,1.24767434313726
156,1.25174533333333
157,1.24928878431373
158,1.24781128431373
159,1.24877587254902
160,1.24976076470588
161,1.25457950980392
162,1.24702420588235
163,1.2553133627451
164,1.25157843137255
165,1.25264484313725
166,1.24664775490196
167,1.24993234313725
168,1.25111874509804
169,1.25148407843137
170,1.25250940196078
171,1.25394002941176
172,1.24740132352941
173,1.25741619607843
174,1.25135623529412
175,1.25695989215686
176,1.24658199019608
177,1.25235807843137
178,1.25280625490196
179,1.25046248039216
180,1.24598984313725
181,1.2480681372549
182,1.248981
183,1.24644705882353
184,1.24755643137255
185,1.25159771568627
186,1.2504635
187,1.25266088235294
188,1.25298430392157
189,1.25498945098039
190,1.25261354901961
191,1.24877050980392
192,1.25468861764706
193,1.2505815
194,1.25045967647059
195,1.25603425490196
196,1.24798862745098
197,1.25671974509804
198,1.25418570588235
199,1.25478618627451
200,1.25121125490196
201,1.24827868627451
202,1.25263185294118
203,1.24893016666667
204,1.25283104901961
205,1.25345746078431
206,1.24944810784314
207,1.25286123529412
208,1.25001016666667
209,1.25098255882353
210,1.249946
211,1.24835079411765
212,1.25109946078431
213,1.25467817647059
214,1.2476688627451
215,1.25471829411765
216,1.2497502745098
217,1.25371643137255
218,1.24951771568627
219,1.25451105882353
220,1.24837531372549
221,1.25747518627451
222,1.2513745
223,1.25536953921569
224,1.25074274509804
225,1.25098519607843
226,1.25433446078431
227,1.25314787254902
228,1.24474059803922
229,1.25198735294118
230,1.24850905882353
231,1.25239315686275
232,1.2512582745098
233,1.25446037254902
